,,,,,Region Sjælland,,,,,,
525,582,,Total,430,,,264,330,548,,445
24,35,,1 day,24,,,16,15,19,,21
61,49,,2-5 days,51,,,42,39,65,,42
122,163,,6-30 days,117,,,83,86,124,,125
193,208,,31-119 days,159,,,86,123,194,,162
121,121,,120-364 days,78,,,37,66,140,,88
4,6,,All year,1,,,0,1,6,,7
,,,,,Region Syddanmark,,,,,,
556,715,,Total,405,,,312,406,649,,447
53,48,,1 day,31,,,35,37,72,,48
74,99,,2-5 days,58,,,57,65,86,,66
178,227,,6-30 days,131,,,105,166,187,,138
188,243,,31-119 days,144,,,96,113,212,,145
62,95,,120-364 days,40,,,19,24,92,,46
1,3,,All year,1,,,0,1,0,,4
,,,,,Region Midtjylland,,,,,,
531,706,,Total,434,,,384,449,695,,443
41,52,,1 day,42,,,43,39,58,,25
82,80,,2-5 days,52,,,59,68,95,,54
171,227,,6-30 days,133,,,121,147,208,,156
171,258,,31-119 days,158,,,130,141,237,,159
62,83,,120-364 days,48,,,31,53,97,,45
4,6,,All year,1,,,0,1,0,,4
,,,,,Region Nordjylland,,,,,,
209,220,,Total,187,,,147,182,218,,179
17,11,,1 day,18,,,15,17,17,,9
21,28,,2-5 days,31,,,28,31,33,,34
76,61,,6-30 days,61,,,51,58,77,,62
77,95,,31-119 days,62,,,47,61,66,,55
18,23,,120-364 days,13,,,6,15,23,,19
0,2,,All year,2,,,0,0,2,,0
,,,,,Not stated,,,,,,
126,159,,Total,139,,,181,148,185,,130
18,16,,1 day,28,,,35,28,30,,15
18,22,,2-5 days,30,,,36,28,36,,27
34,50,,6-30 days,38,,,60,43,42,,44
37,46,,31-119 days,24,,,39,36,45,,27
19,20,,120-364 days,18,,,11,12,29,,17
0,5,,All year,1,,,0,1,3,,0
,,,,,,,,,,Stays with children,
1431,1686,,Total,1336,,,1079,1249,1557,,1367
63,75,,1 day,70,,,72,72,80,,61
157,166,,2-5 days,139,,,168,146,155,,135
422,451,,6-30 days,347,,,324,352,397,,390
505,640,,31-119 days,507,,,358,439,572,,483
264,329,,120-364 days,260,,,157,234,341,,282
20,25,,All year,13,,,0,6,12,,16
533,630,,Total,504,,,360,426,570,,509
13,27,,1 day,21,,,14,17,20,,15
48,58,,2-5 days,43,,,34,34,49,,36
137,153,,6-30 days,100,,,89,87,128,,112
182,212,,31-119 days,191,,,128,157,208,,175
136,165,,120-364 days,138,,,95,125,157,,162
17,15,,All year,11,,,0,6,8,,9
262,297,,Total,238,,,151,200,257,,240
9,13,,1 day,8,,,8,9,6,,7
25,22,,2-5 days,22,,,25,18,28,,16
67,81,,6-30 days,71,,,49,51,53,,69
105,116,,31-119 days,87,,,49,81,99,,94
54,62,,120-364 days,50,,,20,41,69,,50
2,3,,All year,0,,,0,0,2,,4
239,304,,Total,215,,,176,228,275,,235
18,14,,1 day,15,,,17,17,19,,19
30,35,,2-5 days,23,,,37,36,30,,31
77,82,,6-30 days,65,,,57,92,77,,76
87,120,,31-119 days,87,,,55,66,108,,87
27,50,,120-364 days,24,,,10,17,41,,20
0,3,,All year,1,,,0,0,0,,2
268,314,,Total,237,,,219,250,302,,242
14,16,,1 day,16,,,16,17,21,,15
41,38,,2-5 days,27,,,35,39,34,,30
93,94,,6-30 days,68,,,70,76,89,,80
84,130,,31-119 days,95,,,75,86,108,,89
35,35,,120-364 days,31,,,23,32,50,,27
1,1,,All year,0,,,0,0,0,,1
95,96,,Total,98,,,91,97,93,,102
7,2,,1 day,4,,,7,6,5,,3
